"","Status","Point","Responsible.Agency","Address","Request.Details"
"3572","Open","(37.7813211115185, -122.395843455821)","DPW Ops Queue","Intersection of BRYANT ST and 3RD ST","Blocking_signs"
"3573","Closed","(37.772051821997, -122.42422229625)","DPW BUF Queue","73 WALLER ST, SAN FRANCISCO, CA, 94102","Other"
"3574","Open","(37.7830778046958, -122.393618206884)","DPW Ops Queue","Intersection of BRYANT ST and 2ND ST","Blocking_signs"
"3575","Closed","(37.797514880265, -122.44715821193)","DPW Ops Queue","Intersection of LYON ST and GREENWICH ST","Hanging_limb"
"3576","Closed","(37.7496619593178, -122.495500051139)","DPW BUF Queue","Intersection of 37TH AVE and PACHECO ST","Sprinkler_system_issues"
"3577","Closed","(37.774072555411, -122.423606673383)","DPW BUF Queue","176 PAGE ST, SAN FRANCISCO, CA, 94102","Weeding"
"3578","Closed","(37.717132052, -122.424656898)","RPD Park Service Area 3 Queue","Intersection of MANSELL ST and","Other"
"3579","Closed","(37.717132052, -122.424656898)","RPD Park Service Area 3 Queue","Intersection of MANSELL ST and","Damaged_vandalism"
"3580","Closed","(37.766777302594, -122.416146409089)","DPW Ops Queue","1417 15TH ST, SAN FRANCISCO, CA, 94103","Property_damage"
"3581","Open","(37.766618876744, -122.430430397332)","DPW Ops Queue","2174 MARKET ST, SAN FRANCISCO, CA, 94114","Pruning_request"
"3582","Closed","(37.76308824742, -122.424033667036)","DPW Ops Queue","504 GUERRERO ST, SAN FRANCISCO, CA, 94110","About_to_fall"
"3583","Closed","(37.798284752772, -122.404608684533)","DPW Ops Queue","438 BROADWAY, SAN FRANCISCO, CA, 94133","Dead_tree"
"3584","Closed","(37.752936224556, -122.407712863771)","DPW BSM Queue","2770 24TH ST, SAN FRANCISCO, CA, 94110","Other"
"3585","Closed","(37.7268209410153, -122.47237929479)","DPW Ops Queue","Intersection of JUNIPERO SERRA BLVD and WINSTON DR","Hanging_limb"
"3586","Open","(37.7526012284068, -122.412463375771)","DPW BSM Queue","Intersection of 24TH ST and BALMY ST","Other"
"3587","Closed","(37.7524396693588, -122.415172254237)","DPW Ops Queue","Intersection of 24TH ST and SHOTWELL ST","Other"
"3588","Open","(37.762035359504, -122.396666039734)","DPW Ops Queue","336 MISSOURI ST, SAN FRANCISCO, CA, 94107","Sewer_damage_tree_roots"
"3589","Closed","(37.734345180239, -122.435799390102)","DPW Ops Queue","76 LIPPARD AVE, SAN FRANCISCO, CA, 94131","Other_enter_additional_details_below"
"3590","Open","(37.7716892770166, -122.503472581879)","RPD GGP Queue","Intersection of CHAIN OF LAKES DR and FULTON ST","Hanging_limb"
"3591","Closed","(37.7749791637041, -122.472434473054)","DPW Ops Queue","Intersection of 14TH AVE and CABRILLO ST","About_to_fall"
"3592","Closed","(37.7806117045836, -122.423730850957)","DPW Ops Queue","Intersection of GOLDEN GATE AVE and GOUGH ST","Blocking_traffic_signal"
"3593","Closed","(37.725316489743, -122.436961913113)","DPW Ops Queue","1678 ALEMANY BLVD, SAN FRANCISCO, CA, 94112","Pruning_request"
"3594","Closed","(37.800834381926, -122.406023869024)","DPW Ops Queue","Intersection of KEARNY ST and UNION ST","Property_damage"
"3595","Open","(37.744945620017, -122.413517212665)","DPW Ops Queue","3306 FOLSOM ST, SAN FRANCISCO, CA, 94110","Pruning_request"
"3596","Closed","(37.745004385159, -122.413560958486)","DPW Ops Queue","3302 FOLSOM ST, SAN FRANCISCO, CA, 94110","Pruning_request"
"3597","Closed","(37.786131577385, -122.414867857991)","DPW Ops Queue","545 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"3598","Open","(37.773575031176, -122.423655515974)","DPW Ops Queue","140 OCTAVIA ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"3599","Closed","(37.755505009402, -122.414180459484)","DPW Ops Queue","2607 FOLSOM ST, SAN FRANCISCO, CA, 94110","Other_enter_additional_details_below"
"3600","Closed","(37.7863039939232, -122.431552162256)","DPW Ops Queue","Intersection of WEBSTER ST and SUTTER ST","Pruning_request"
"3601","Closed","(37.800654931908, -122.419519077097)","DPW Ops Queue","2115 HYDE ST, SAN FRANCISCO, CA, 94109","Fallen_tree"
"3602","Closed","(37.790113449372, -122.410002184864)","DPW Ops Queue","776 BUSH ST, SAN FRANCISCO, CA, 94102","Other_enter_additional_details_below"
"3603","Closed","(37.800794232084, -122.419736122104)","DPW Ops Queue","2127 HYDE ST, SAN FRANCISCO, CA, 94109","Fallen_tree"
"3604","Closed","(37.762380000025, -122.415183904881)","DPW Ops Queue","2190 FOLSOM ST, SAN FRANCISCO, CA, 94110","Other"
"3605","Closed","(37.77552068159, -122.406556381281)","DPW Ops Queue","398 7TH ST, SAN FRANCISCO, CA, 94103","Pruning_request"
"3606","Open","(37.762607566278, -122.465881623062)","DPW Ops Queue","1380 9TH AVE, SAN FRANCISCO, CA, 94122","Fallen_tree"
"3607","Closed","(37.733734184686, -122.433895415644)","DPW Ops Queue","2885 DIAMOND ST, SAN FRANCISCO, CA, 94131","Near_communication_line"
"3608","Closed","(37.7758005798888, -122.414173363694)","DPW Ops Queue","Intersection of 9TH ST and MINNA ST","Blocking_signs"
"3609","Open","(37.8008319888662, -122.447694906633)","DPW Ops Queue","Intersection of HWY 101 N ON RAMP and LYON ST","Damaged_vandalism"
"3610","Closed","(37.73107408218, -122.395485632839)","DPW BUF Queue","331 THORNTON AVE, SAN FRANCISCO, CA, 94124","Vacant_lot_weeding"
"3611","Closed","(37.7332364707907, -122.38340778081)","DPW BUF Queue","Intersection of PROGRESS ST and WHITNEY YOUNG CIR","Weeding"
"3612","Closed","(37.729159651412, -122.39241490207)","DPW Ops Queue","Intersection of LANE ST and VAN DYKE AVE","Other"
"3613","Closed","(37.779455940081, -122.503504335817)","DPW Ops Queue","25 POINT LOBOS AVE, SAN FRANCISCO, CA, 94121","Other"
"3614","Closed","(37.752713748436, -122.408523655754)","DPW BSM Queue","2813 24TH ST, SAN FRANCISCO, CA, 94110","Other"
"3615","Open","(37.752884629814, -122.409844355686)","DPW BSM Queue","2878 24TH ST, SAN FRANCISCO, CA, 94110","Other"
"3616","Open","(37.7526285022298, -122.411899811917)","DPW BSM Queue","Intersection of 24TH ST and HARRISON ST","Other"
"3617","Open","(37.752699631121, -122.410034375477)","DPW BSM Queue","2899 24TH ST, SAN FRANCISCO, CA, 94110","Other"
"3618","Closed","(37.7525379726793, -122.413517279998)","DPW BSM Queue","Intersection of 24TH ST and LUCKY ST","Other"
"3619","Closed","(37.778275115881, -122.47799160049)","DPW Ops Queue","500 19TH AVE, SAN FRANCISCO, CA, 94121","Fallen_tree"
"3620","Closed","(37.781799888, -122.4256579)","311 Supervisor Queue","Jefferson Square, , SAN FRANCISCO, CA, 94102","Pruning_request"
"3621","Closed","(37.786496249295, -122.44409716679)","DPW Ops Queue","2933 PINE ST, SAN FRANCISCO, CA, 94115","Dead_tree"
"3622","Open","(37.786496249295, -122.44409716679)","DPW Ops Queue","2933 PINE ST, SAN FRANCISCO, CA, 94115","Lifted_sidewalk_tree_roots"
"3623","Closed","(37.790681834105, -122.424218647096)","DPW Ops Queue","1735 FRANKLIN ST, SAN FRANCISCO, CA, 94109","Dead_tree"
"3624","Open","(37.8051695173467, -122.417226282041)","DPW Ops Queue","Intersection of BAY ST and COLUMBUS AVE","Damaged_vandalism"
"3625","Open","(37.7345534879784, -122.476159928556)","DPW Ops Queue","Intersection of 20TH AVE and SLOAT BLVD","Weeding"
"3626","Open","(37.748134456445, -122.434053937549)","DPW BSM Queue","4210 26TH ST, SAN FRANCISCO, CA, 94131","Weeding"
"3627","Closed","(37.75442549976, -122.400429511524)","DPW Ops Queue","1207 DE HARO ST, SAN FRANCISCO, CA, 94107","Other"
"3628","Closed","(37.7921407850316, -122.40836393522)","DPW Ops Queue","Intersection of CALIFORNIA ST and JOICE ST","Damaged_vandalism"
"3629","Closed","(37.790017527805, -122.400095073969)","DPW Ops Queue","555 MARKET ST, SAN FRANCISCO, CA, 94105","Backfill_tree_basin"
"3630","Closed","(37.755755067911, -122.399549754975)","DPW Ops Queue","1019 CAROLINA ST, SAN FRANCISCO, CA, 94107","Other"
"3631","Closed","(37.779659604242, -122.438740014805)","DPW Ops Queue","Intersection of DIVISADERO ST and TURK ST","Other_enter_additional_details_below"
"3632","Closed","(37.769059013, -122.4809487)","RPD GGP Queue","Golden Gate Park, , SAN FRANCISCO, CA, 94122","Damaged_vandalism"
"3633","Closed","(37.7703428969378, -122.436848957005)","DPW Ops Queue","Intersection of CASTRO ST and DIVISADERO ST","Other"
"3634","Closed","(37.788843528219, -122.391300451133)","DPW Ops Queue","480 MAIN ST, SAN FRANCISCO, CA, 94105","Damaged_vandalism"
"3635","Closed","(37.746034581, -122.407828717)","DPW Ops Queue","Intersection of FRANCONIA ST and MONTCALM ST","Pruning_request"
"3636","Closed","(37.795543775122, -122.40483849057)","DPW Ops Queue","800 KEARNY ST, SAN FRANCISCO, CA, 94108","Damaged_vandalism"
"3637","Closed","(37.7832591640268, -122.402708081722)","DPW Ops Queue","Intersection of 4TH ST and HOWARD ST","Damaged_vandalism"
"3638","Closed","(37.7627030998165, -122.431544705694)","DPW Ops Queue","Intersection of 17TH ST and PROSPER ST","Pruning_request"
"3639","Open","(37.721057412604, -122.475221851511)","DPW BUF Queue","Intersection of HOLLOWAY AVE and 19TH AVE","Weeding"
"3640","Open","(37.788278352702, -122.438773274218)","DPW Ops Queue","Intersection of CALIFORNIA ST and SCOTT ST","Blocking_traffic_signal"
"3641","Closed","(37.793752053895, -122.42349590412)","DPW Ops Queue","1701 JACKSON ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"3642","Open","(37.751537250867, -122.406382129074)","DPW Ops Queue","1298 POTRERO AVE, SAN FRANCISCO, CA, 94110","Pruning_request"
"3643","Closed","(37.779251868174, -122.408654939624)","DPW Ops Queue","51 RUSS ST, SAN FRANCISCO, CA, 94103","Other_enter_additional_details_below"
"3644","Open","(37.7366011030598, -122.385712955458)","DPW BUF Queue","Intersection of CASHMERE ST and WHITNEY YOUNG CIR","Weeding"
"3645","Closed","(37.71504688659, -122.451517089774)","DPW BUF Queue","2658 SAN JOSE AVE, SAN FRANCISCO, CA, 94112","Weeding"
"3646","Closed","(37.742670349085, -122.471157413742)","DPW Ops Queue","2428 15TH AVE, SAN FRANCISCO, CA, 94116","Damaged_vandalism"
"3647","Closed","(37.7480133805278, -122.422487269711)","DPW Ops Queue","Intersection of CESAR CHAVEZ ST and GUERRERO ST","Pruning_request"
"3648","Closed","(37.748215413611, -122.422715267859)","DPW Ops Queue","1432 GUERRERO ST, SAN FRANCISCO, CA, 94110","Pruning_request"
"3649","Closed","(37.7395150310907, -122.471094280321)","DPW Ops Queue","Intersection of VICENTE ST and 15TH AVE","Blocking_signs"
"3650","Closed","(37.799934092113, -122.409903130533)","DPW Ops Queue","549 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","Damaged_vandalism"
"3651","Closed","(37.768414507196, -122.43588855658)","DPW Ops Queue","42 CASTRO ST, SAN FRANCISCO, CA, 94114","Hanging_limb"
"3652","Closed","(37.731257576837, -122.451334148917)","DPW Ops Queue","705 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Hitting_window_or_building"
"3653","Closed","(37.7727344034532, -122.425512161152)","DPW BUF Queue","Intersection of HAIGHT ST and LAGUNA ST","Blocking_signs"
"3654","Open","(37.726720050218, -122.46161082916)","DPW BSM Queue","149 DORADO TER, SAN FRANCISCO, CA, 94112","Pruning_request"
"3655","Closed","(37.7968998104606, -122.421960903125)","DPW Ops Queue","Intersection of VALLEJO ST and POLK ST","Blocking_street_lights"
"3656","Closed","(37.772995393195, -122.445902195687)","DPW Ops Queue","Intersection of FELL ST and MASONIC AVE","Other"
"3657","Closed","(37.786937834919, -122.440747413467)","DPW BUF Queue","2731 PINE ST, SAN FRANCISCO, CA, 94115","Hitting_window_or_building"
"3658","Closed","(37.793227136182, -122.406516439799)","DPW Ops Queue","819 SACRAMENTO ST, SAN FRANCISCO, CA, 94108","Other"
"3659","Closed","(37.78868962518, -122.421239347881)","DPW Ops Queue","1452 BUSH ST, SAN FRANCISCO, CA, 94109","Blocking_signs"
"3660","Closed","(37.7315490635299, -122.446578465478)","DPW Ops Queue","Intersection of EDNA ST and MONTEREY BLVD","Pruning_request"
"3661","Closed","(37.7749918468372, -122.437798680015)","DPW Ops Queue","Intersection of DIVISADERO ST and HAYES ST","Fallen_tree"
"3662","Closed","(37.758827338754, -122.417514793012)","DPW Ops Queue","3428 20TH ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"3663","Closed","(37.731380500971, -122.448357212861)","DPW Ops Queue","579 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Pruning_request"
"3664","Closed","(37.731405240962, -122.44551110469)","DPW Ops Queue","453 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Pruning_request"
"3665","Closed","(37.762318686911, -122.419566022828)","DPW Ops Queue","2170 MISSION ST, SAN FRANCISCO, CA, 94110","Other"
"3666","Closed","(37.7675283474681, -122.432299268812)","DPW Ops Queue","Intersection of 14TH ST and WALTER ST","Pruning_request"
"3667","Closed","(37.767231172897, -122.431086815105)","DPW Ops Queue","123 SANCHEZ ST, SAN FRANCISCO, CA, 94114","Pruning_request"
"3668","Closed","(37.763461012193, -122.420677979025)","DPW Ops Queue","3338 17TH ST, SAN FRANCISCO, CA, 94110","Other"
"3669","Closed","(37.709204178919, -122.409520703455)","DPW Ops Queue","785 SUNNYDALE AVE, SAN FRANCISCO, CA, 94134","Fallen_tree"
"3670","Closed","(37.788904528884, -122.42513911989)","DPW Ops Queue","1791 PINE ST, SAN FRANCISCO, CA, 94109","Hanging_limb"
"3671","Closed","(37.769548476062, -122.430140382811)","DPW Ops Queue","402 DUBOCE AVE, SAN FRANCISCO, CA, 94117","Pruning_request"
"3672","Closed","(37.710740510022, -122.469584253667)","DPW Ops Queue","612 PALMETTO AVE, SAN FRANCISCO, CA, 94132","About_to_fall"
"3673","Closed","(37.758256500951, -122.400160760581)","DPW Ops Queue","824 CAROLINA ST, SAN FRANCISCO, CA, 94107","Fallen_tree"
"3674","Closed","(37.734479000863, -122.435757363527)","DPW Ops Queue","68 LIPPARD AVE, SAN FRANCISCO, CA, 94131","Fallen_tree"
"3675","Closed","(37.7626708067676, -122.435188059501)","DPW Ops Queue","Intersection of 17TH ST and CASTRO ST","Other"
"3676","Closed","(37.773384836142, -122.504245102443)","DPW Ops Queue","4235 CABRILLO ST, SAN FRANCISCO, CA, 94121","About_to_fall"
"3677","Closed","(37.802822423597, -122.421847081905)","DPW Ops Queue","1124 CHESTNUT ST, SAN FRANCISCO, CA, 94109","Fallen_tree"
"3678","Closed","(37.767029693061, -122.415752370946)","DPW Ops Queue","1412 15TH ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"3679","Closed","(37.7669370492228, -122.415462297581)","DPW Ops Queue","Intersection of 15TH ST and FOLSOM ST","Fallen_tree"
"3680","Open","(37.7322380193952, -122.486274302695)","DPW BSM Queue","Intersection of MIDDLEFIELD DR and OCEAN AVE","Weeding"
"3681","Open","(37.7739831277, -122.423645930258)","DPW Ops Queue","180 PAGE ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"3682","Closed","(37.805311092709, -122.417694031381)","DPW Ops Queue","1201 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","Other"
"3683","Closed","(37.759375312343, -122.435251969543)","DPW Ops Queue","4134 19TH ST, SAN FRANCISCO, CA, 94114","Damaged_vandalism"
"3684","Closed","(37.7862236994829, -122.389636728846)","DPW BUF Queue","Intersection of BEALE ST and BRYANT ST","Pruning_request"
"3685","Closed","(37.756598534191, -122.434524789858)","DPW Ops Queue","767 CASTRO ST, SAN FRANCISCO, CA, 94114","Damaged_vandalism"
"3686","Closed","(37.76363327242, -122.419691885214)","DPW Ops Queue","2090 MISSION ST, SAN FRANCISCO, CA, 94110","Other"
"3687","Closed","(37.7650512510466, -122.419669041689)","DPW Ops Queue","Intersection of 16TH ST and MISSION ST","Other"
"3688","Closed","(37.762936984084, -122.425703164021)","DPW Ops Queue","3587 17TH ST, SAN FRANCISCO, CA, 94110","Other"
"3689","Closed","(37.762625086489, -122.419984802877)","DPW Ops Queue","27 SYCAMORE ST, SAN FRANCISCO, CA, 94110","Other"
"3690","Closed","(37.765022221806, -122.396550891425)","DPW Ops Queue","1239 17TH ST, SAN FRANCISCO, CA, 94107","Fallen_tree"
"3691","Closed","(37.7140553908419, -122.459035495535)","DPW Ops Queue","Intersection of FARALLONES ST and CAPITOL AVE","Blocking_signs"
"3692","Closed","(37.762502666168, -122.415195528007)","DPW Ops Queue","2180 FOLSOM ST, SAN FRANCISCO, CA, 94110","Other"
"3693","Closed","(37.7509026855156, -122.413925943039)","DPW Ops Queue","Intersection of FOLSOM ST and 25TH ST","Blocking_signs"
"3694","Open","(37.771831069695, -122.431148271716)","DPW Ops Queue","547 HAIGHT ST, SAN FRANCISCO, CA, 94117","Other_enter_additional_details_below"
"3695","Open","(37.740565403943, -122.417247760677)","DPW Ops Queue","619 EUGENIA AVE, SAN FRANCISCO, CA, 94110","Lifted_sidewalk_tree_roots"
"3696","Closed","(37.7989693135443, -122.405645390632)","DPW Ops Queue","Intersection of KEARNY ST and VALLEJO ST","Damaged_vandalism"
"3697","Closed","(37.7940288554325, -122.415217886754)","DPW Ops Queue","Intersection of PRIEST ST and WASHINGTON ST","Damaged_vandalism"
"3698","Closed","(37.7995315640597, -122.401240128221)","DPW Ops Queue","Intersection of VALLEJO ST and BATTERY ST","Damaged_vandalism"
"3699","Open","(37.765448377762, -122.453587216046)","DPW Ops Queue","248 CARL ST, SAN FRANCISCO, CA, 94117","Damaged_vandalism"
"3700","Open","(37.7691793012899, -122.445921954705)","DPW Ops Queue","Intersection of DELMAR ST and WALLER ST","Other"
"3701","Closed","(37.712626527861, -122.401583256235)","DPW Ops Queue","2174 BAY SHORE BLVD, SAN FRANCISCO, CA, 94134","Blocking_traffic_signal"
"3702","Closed","(37.7155577073263, -122.389437507475)","DPW BUF Queue","Intersection of GILROY ST and JAMESTOWN AVE","Weeding"
"3703","Closed","(37.760297276984, -122.420369368767)","DPW Ops Queue","3446 19TH ST, SAN FRANCISCO, CA, 94110","Pruning_request"
"3704","Closed","(37.7651305084029, -122.396770722608)","DPW Ops Queue","Intersection of 17TH ST and MISSOURI ST","Pruning_request"
"3705","Closed","(37.771682003702, -122.434656860144)","DPW Ops Queue","754 HAIGHT ST, SAN FRANCISCO, CA, 94117","Damaged_vandalism"
"3706","Closed","(37.727952310404, -122.423254988892)","DPW Ops Queue","69 MADISON ST, SAN FRANCISCO, CA, 94134","Pruning_request"
"3707","Closed","(37.777492130833, -122.502098202577)","DPW BUF Queue","5014 ANZA ST, SAN FRANCISCO, CA, 94121","Weeding"
"3708","Open","(37.732423783104, -122.451635806347)","DPW BUF Queue","718 JOOST AVE, SAN FRANCISCO, CA, 94127","Shrubbery_blocking_visibility"
"3709","Closed","(37.776027477669, -122.426802106657)","DPW Ops Queue","536 LINDEN ST, SAN FRANCISCO, CA, 94102","Hanging_limb"
"3710","Closed","(37.7669370492228, -122.415462297581)","DPW Ops Queue","Intersection of FOLSOM ST and 15TH ST","Blocking_traffic_signal"
"3711","Closed","(37.731550698766, -122.42900684833)","DPW Ops Queue","27 CAYUGA AVE, SAN FRANCISCO, CA, 94112","Near_communication_line"
"3712","Closed","(37.7347067618972, -122.471569275118)","DPW BUF Queue","Intersection of JUNIPERO SERRA BLVD and PORTOLA DR","Other"
"3713","Closed","(37.7400057699104, -122.467996885788)","DPW Ops Queue","Intersection of VICENTE ST and WAWONA ST","Blocking_signs"
"3714","Open","(37.734155997085, -122.486402353058)","DPW BUF Queue","Intersection of SLOAT BLVD and MIDDLEFIELD DR","Weeding"
"3715","Open","(37.76363327242, -122.419691885214)","DPW Ops Queue","2090 MISSION ST, SAN FRANCISCO, CA, 94110","Other"
"3716","Closed","(37.7690422430629, -122.426858401469)","DPW Ops Queue","Intersection of DOLORES ST and MARKET ST","Damaged_vandalism"
"3717","Closed","(37.720344399893, -122.439208709476)","DPW Ops Queue","1991 ALEMANY BLVD, SAN FRANCISCO, CA, 94112","Near_communication_line"
"3718","Closed","(37.756639073182, -122.44221944713)","DPW Ops Queue","Intersection of MARKET ST and GLENDALE ST","Blocking_traffic_signal"
"3719","Closed","(37.7802926905909, -122.441148744085)","DPW Ops Queue","Intersection of SAINT JOSEPHS AVE and PINAR LN","Other"
"3720","Closed","(37.7802926905909, -122.441148744085)","DPW Ops Queue","Intersection of SAINT JOSEPHS AVE and PINAR LN","Other"
"3721","Closed","(37.792156224023, -122.432949750659)","DPW Ops Queue","2311 WEBSTER ST, SAN FRANCISCO, CA, 94115","Other"
"3722","Closed","(37.772147628803, -122.421083297063)","DPW Ops Queue","33 GOUGH ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"3723","Closed","(37.7854821919478, -122.423027722506)","DPW Ops Queue","Intersection of FRANKLIN ST and GEARY BLVD","Other"
"3724","Closed","(37.725400873245, -122.465103291593)","DPW Ops Queue","140 URBANO DR, SAN FRANCISCO, CA, 94127","Other"
"3725","Closed","(37.725734224375, -122.467844815811)","DPW BUF Queue","260 URBANO DR, SAN FRANCISCO, CA, 94127","Weeding"
"3726","Closed","(37.725713724409, -122.4676825479)","DPW BUF Queue","250 URBANO DR, SAN FRANCISCO, CA, 94127","Weeding"
"3727","Closed","(37.725713724409, -122.4676825479)","DPW BUF Queue","250 URBANO DR, SAN FRANCISCO, CA, 94127","Weeding"
"3728","Open","(37.725713724409, -122.4676825479)","DPW BUF Queue","250 URBANO DR, SAN FRANCISCO, CA, 94127","Weeding"
"3729","Closed","(37.725976533648, -122.469144075193)","DPW BUF Queue","15 MONCADA WAY, SAN FRANCISCO, CA, 94127","Weeding"
"3730","Closed","(37.725781246203, -122.469155330872)","DPW BUF Queue","300 URBANO DR, SAN FRANCISCO, CA, 94127","Weeding"
"3731","Closed","(37.799837885514, -122.41561513095)","DPW Ops Queue","992 UNION ST, SAN FRANCISCO, CA, 94133","About_to_fall"
"3732","Open","(37.751345907424, -122.479334332462)","DPW Ops Queue","1946 22ND AVE, SAN FRANCISCO, CA, 94116","Lifted_sidewalk_tree_roots"
"3733","Closed","(37.7382878362001, -122.437398085622)","DPW Ops Queue","Intersection of DIAMOND HEIGHTS BLVD and DIAMOND ST","Other_enter_additional_details_below"
"3734","Closed","(37.766803954099, -122.415648136126)","DPW Ops Queue","1904 FOLSOM ST, SAN FRANCISCO, CA, 94103","Other_enter_additional_details_below"
"3735","Open","(37.7334739828907, -122.384547568251)","DPW Ops Queue","Intersection of NEWCOMB AVE and WHITNEY YOUNG CIR","About_to_fall"
"3736","Closed","(37.7483527667551, -122.408706396791)","DPW Ops Queue","Intersection of BRYANT ST and CESAR CHAVEZ ST","Other"
"3737","Closed","(37.793752053895, -122.42349590412)","DPW Ops Queue","1701 JACKSON ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"3738","Closed","(37.793970931881, -122.423203795928)","DPW Ops Queue","1706 JACKSON ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"3739","Closed","(37.790256877008, -122.424496546315)","DPW BSM Queue","1818 CALIFORNIA ST, SAN FRANCISCO, CA, 94109","Backfill_tree_basin"
"3740","Closed","(37.740725806844, -122.466190202558)","DPW Ops Queue","16 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"3741","Closed","(37.721071080213, -122.431421775452)","DPW Ops Queue","531 PERSIA AVE, SAN FRANCISCO, CA, 94112","Pruning_request"
"3742","Closed","(37.787501257962, -122.423574503552)","DPW Ops Queue","1405 FRANKLIN ST, SAN FRANCISCO, CA, 94109","Hitting_window_or_building"
"3743","Closed","(37.7650512510466, -122.419669041689)","DPW Ops Queue","Intersection of 16TH ST and MISSION ST","Other"
"3744","Closed","(37.730838116459, -122.458696240469)","DPW BUF Queue","Intersection of MONTEREY BLVD and YERBA BUENA AVE","Shrubbery_blocking_visibility"
"3745","Closed","(37.76363327242, -122.419691885214)","DPW Ops Queue","2090 MISSION ST, SAN FRANCISCO, CA, 94110","Other"
"3746","Open","(37.731679535495, -122.452402381578)","DPW Ops Queue","754 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Hitting_window_or_building"
"3747","Closed","(37.758543926, -122.4531998)","311 Supervisor Queue","Interior Greenbelt, , SAN FRANCISCO, CA, 94131","Fallen_tree"
"3748","Closed","(37.7431614702291, -122.435558944359)","DPW BUF Queue","Intersection of DIAMOND ST and 29TH ST","Shrubbery_blocking_visibility"
"3749","Closed","(37.760441432661, -122.425023113717)","DPW Ops Queue","74 OAKWOOD ST, SAN FRANCISCO, CA, 94110","Pruning_request"
"3750","Closed","(37.7215343139683, -122.401074024586)","DPW BUF Queue","Intersection of MANSELL ST and SAN BRUNO AVE","Weeding"
"3751","Closed","(37.772187133624, -122.432010564037)","DPW Ops Queue","328 STEINER ST, SAN FRANCISCO, CA, 94117","Other_enter_additional_details_below"
"3752","Closed","(37.768921992632, -122.452619949133)","DPW Ops Queue","1835 HAIGHT ST, SAN FRANCISCO, CA, 94117","Other"
"3753","Open","(37.78056474339, -122.412063403031)","DPW Ops Queue","1089 MARKET ST, SAN FRANCISCO, CA, 94103","Other"
"3754","Closed","(37.733624919262, -122.433777573104)","DPW BUF Queue","590 BOSWORTH ST, SAN FRANCISCO, CA, 94131","Sprinkler_system_issues"
"3755","Closed","(37.753027821324, -122.43406917382)","DPW Ops Queue","1019 CASTRO ST, SAN FRANCISCO, CA, 94114","Damaged_vandalism"
"3756","Closed","(37.740645814563, -122.465781841621)","DPW Ops Queue","7 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3757","Open","(37.740645814563, -122.465781841621)","DPW Ops Queue","7 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3758","Open","(37.740084023183, -122.466304488944)","DPW Ops Queue","59 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"3759","Open","(37.738427349821, -122.468056763033)","DPW Ops Queue","235 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3760","Open","(37.738427349821, -122.468056763033)","DPW Ops Queue","235 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3761","Closed","(37.738427349821, -122.468056763033)","DPW Ops Queue","237 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"3762","Open","(37.737335456943, -122.470081034136)","DPW Ops Queue","360 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3763","Open","(37.737456559597, -122.469987763749)","DPW Ops Queue","346 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3764","Closed","(37.738718159556, -122.468492250967)","311 Supervisor Queue","220 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3765","Closed","(37.738861872871, -122.468321561014)","311 Supervisor Queue","190 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"3766","Closed","(37.738987688862, -122.468119815493)","311 Supervisor Queue","186 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"3767","Closed","(37.739298928303, -122.467977336187)","DPW Ops Queue","170 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"3768","Closed","(37.74062758419, -122.466323011486)","311 Supervisor Queue","24 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
"3769","Open","(37.740725806844, -122.466190202558)","DPW Ops Queue","16 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127","Other"
